"","ID","X","Y","reg.vis"
"435","SEAK_1",-138.851778,59.240361,"Southeast AK"
"436","SEAK_1",-138.843417,59.237027,"Southeast AK"
"437","SEAK_1",-138.833333,59.239528,"Southeast AK"
"438","SEAK_1",-138.830861,59.23825,"Southeast AK"
"439","SEAK_1",-138.829278,59.23075,"Southeast AK"
"440","SEAK_1",-138.820083,59.231221,"Southeast AK"
"441","SEAK_1",-138.808306,59.225361,"Southeast AK"
"442","SEAK_1",-138.815028,59.228666,"Southeast AK"
"443","SEAK_1",-138.820167,59.228638,"Southeast AK"
"444","SEAK_1",-138.821722,59.230388,"Southeast AK"
"445","SEAK_1",-138.828417,59.229527,"Southeast AK"
"446","SEAK_1",-138.833389,59.232,"Southeast AK"
"447","SEAK_1",-138.840083,59.232,"Southeast AK"
"448","SEAK_1",-138.843444,59.229499,"Southeast AK"
"449","SEAK_1",-138.848333,59.229527,"Southeast AK"
"450","SEAK_1",-138.869972,59.2395,"Southeast AK"
"451","SEAK_1",-138.878389,59.240389,"Southeast AK"
"452","SEAK_1",-138.908389,59.248694,"Southeast AK"
"453","SEAK_1",-138.913417,59.248722,"Southeast AK"
"454","SEAK_1",-138.945,59.25875,"Southeast AK"
"455","SEAK_1",-139.005167,59.272,"Southeast AK"
"456","SEAK_1",-139.033528,59.280361,"Southeast AK"
"457","SEAK_1",-139.041833,59.282028,"Southeast AK"
"458","SEAK_1",-139.04775,59.281611,"Southeast AK"
"459","SEAK_1",-139.043528,59.277832,"Southeast AK"
"460","SEAK_1",-139.028472,59.275333,"Southeast AK"
"461","SEAK_1",-138.983389,59.262888,"Southeast AK"
"462","SEAK_1",-138.955028,59.257082,"Southeast AK"
"463","SEAK_1",-138.923333,59.247056,"Southeast AK"
"464","SEAK_1",-138.901778,59.242082,"Southeast AK"
"465","SEAK_1",-138.858389,59.225361,"Southeast AK"
