reg,long,lat
SEAK,-133.3459305,56.39571718
SEAK,-133.2389386,56.39402863
SEAK,-133.1675536,56.37322082
SEAK,-133.1325664,56.32226319
SEAK,-133.0650665,56.27357752
SEAK,-132.9705197,56.20652871
SEAK,-132.8215983,56.13030139
SEAK,-132.7175678,56.01928749
SEAK,-132.6137142,55.96872433
SEAK,-132.5367347,55.91830446
SEAK,-132.4329113,55.83277472
SEAK,-132.3612833,55.77288451
SEAK,-132.3155719,55.72610123
SEAK,-132.2824531,55.66015423
SEAK,-132.2775583,55.62002055
SEAK,-132.0628818,55.49023713
SEAK,-131.9825552,55.42730794
SEAK,-131.9219029,55.33012185
SEAK,-131.9133728,55.21685476
SEAK,-131.8890701,55.05254601
SEAK,-131.840448,54.98203971
SEAK,-131.7691265,54.92579083
SEAK,-131.6598883,54.83513732
SEAK,-131.5428713,54.76876438
SEAK,-131.3521876,54.69561527
SEAK,-131.1864432,54.69042681
SEAK,-131.0751735,54.66918311
SEAK,-130.9635542,54.66434185
SEAK,-130.8576515,54.65542816
SEAK,-130.6890124,54.64971665
SEAK,-130.523407,54.66374504
SEAK,-130.4478478,54.68769728
SEAK,-130.3832474,54.7220396
SEAK,-130.346218,54.76112383
SJ,-122.9718762,48.81775995
SJ,-122.9868464,48.81024174
SJ,-123.0007411,48.80340875
SJ,-123.0127666,48.78401008
SJ,-123.0172875,48.76941912
SJ,-123.0333237,48.7605149
SJ,-123.0578656,48.74890179
SJ,-123.0632965,48.74128824
SJ,-123.0888586,48.73107241
SJ,-123.1112199,48.72221616
SJ,-123.1409406,48.71550954
SJ,-123.1642358,48.71361854
SJ,-123.1875468,48.71102646
SJ,-123.2087237,48.7098063
SJ,-123.2309848,48.70719731
SJ,-123.2564666,48.70182113
SJ,-123.273514,48.6942845
SJ,-123.2747365,48.6831423
SJ,-123.2696859,48.66707588
SJ,-123.2572199,48.65234965
SJ,-123.2436763,48.6397067
SJ,-123.236448,48.62920212
SJ,-123.2334602,48.61803356
SJ,-123.2368559,48.60412697
SJ,-123.2380947,48.5929907
SJ,-123.2321805,48.56787057
SJ,-123.2241344,48.54482543
SJ,-123.2138958,48.52733688
SJ,-123.2016743,48.50356458
SJ,-123.1871472,48.49161577
SJ,-123.1695649,48.47476679
SJ,-123.1498016,48.46277484
SJ,-123.1174227,48.45137685
SJ,-123.0977062,48.43868075
SJ,-123.0799162,48.43505228
SJ,-123.046482,48.42641231
SJ,-123.0130677,48.4177624
SJ,-122.9786546,48.40769996
SJ,-122.9483765,48.40114811
SJ,-122.9212236,48.39601096
SJ,-122.8919997,48.39014923
SJ,-122.8480956,48.38482246
SJ,-122.8049701,48.39062835
SJ,-122.7743809,48.39794933
SJ,-122.7510128,48.40952123
SJ,-122.7410434,48.42959702
SJ,-122.7448137,48.44565187
SJ,-122.7452364,48.4693224
SJ,-122.7437448,48.48600844
SJ,-122.7370773,48.49984949
SJ,-122.7345142,48.51721667
SJ,-122.7393771,48.53188614
SJ,-122.7441141,48.5514243
SJ,-122.7490385,48.56400596
SJ,-122.7528593,48.57866217
SJ,-122.7586952,48.59682072
SJ,-122.7541594,48.60929381
SJ,-122.743289,48.62238964
SJ,-122.7272056,48.63333622
SJ,-122.7143112,48.64292706
SJ,-122.7013545,48.65460412
SJ,-122.7032138,48.66367408
SJ,-122.7070672,48.67694444
SJ,-122.7130683,48.68884899
SJ,-122.7252854,48.70500446
SJ,-122.7407309,48.71910961
SJ,-122.7552044,48.73041814
SJ,-122.7761419,48.73692532
SJ,-122.7821532,48.74952935
SJ,-122.7913531,48.76147424
SJ,-122.8027055,48.77205108
SJ,-122.8278307,48.78138782
SJ,-122.8434761,48.78992123
SJ,-122.8644136,48.79851148
SJ,-122.8864509,48.80571786
SJ,-122.9084519,48.81501292
SJ,-122.9348031,48.81947142
SJ,-122.9718762,48.81775995
PS,-122.7512588,48.15764086
PS,-122.7559446,48.14737714
PS,-122.7602407,48.13711965
PS,-122.7669197,48.12870931
PS,-122.7774535,48.11623479
PS,-122.7893031,48.09880039
PS,-122.7957084,48.08833122
PS,-122.7986158,48.07723596
PS,-122.8007469,48.06203223
PS,-122.8105232,48.04504361
PS,-122.8142814,47.99478826
PS,-122.8214681,47.97439919
PS,-122.8302142,47.94391933
PS,-122.8431135,47.91413543
PS,-122.8617195,47.88678372
PS,-122.8748099,47.87063358
PS,-122.881352,47.85664085
PS,-122.9101553,47.8222441
PS,-122.9185017,47.80007952
PS,-122.9232395,47.78314821
PS,-122.9387864,47.75052013
PS,-122.9523484,47.72840845
PS,-122.9615752,47.70507985
PS,-122.9855378,47.68481862
PS,-122.9990437,47.66445018
PS,-123.020355,47.64531943
PS,-123.0479615,47.61125429
PS,-123.0641599,47.58271914
PS,-123.0837389,47.55831002
PS,-123.0989112,47.53678449
PS,-123.1184586,47.51295063
PS,-123.1386877,47.49848349
PS,-123.150424,47.47398679
PS,-123.166502,47.44893286
PS,-123.1818602,47.41566272
PS,-123.189307,47.38817971
PS,-123.1898265,47.36063679
PS,-123.1842591,47.33480003
PS,-123.1464376,47.32161795
PS,-123.1179903,47.31670552
PS,-123.0556968,47.31853542
PS,-123.007926,47.32924833
PS,-122.9724322,47.32839921
PS,-122.9493883,47.31587803
PS,-122.9447778,47.2900815
PS,-122.9523633,47.25914
PS,-122.9722277,47.21836401
PS,-123.0072641,47.19235442
PS,-123.0333226,47.18264102
